﻿#,"REDCap MLM"
#,"v16.1.6"
#,"2026-04-14 17:26:50"
#,"How to use this file: Any information above the column title row is purely informational and will be ignored during import. The column title row must remain intact, i.e. the row 'section,type,name,index,kind,text' (the delimiter can be either comma, as shown, or semicolon or tab) and be the first non-empty line that is not staring with # (denoting comments). The essential lines are those with 'translation' or 'value' in the 'kind' column. In these lines, the translation (or value) in the 'text' column can be edited. All other lines (except the 'hash' kind. see below) are ignored when the file is imported. Do not change the contents of the 'section', 'type', 'name', 'index', and 'kind' columns at all. Furthermore, subsets of this file can be created and used at will, as long as the rules layed out above are observed. The 'hash'-kind rows are not essential, but assist in tracking if a default value has changed since the file was created, and thus a translation may be out of date. During an import operation, a best-effort approach is taken. Any items that cannot be matched during import will be silently ignored. Thus, a cross-project import of field translations would only work for fields of the same name."
#,
section,type,name,index,kind,text
lang,info,key,,value,"fr"
lang,info,display,,value,"French"
lang,info,rtl,,value,0
lang,info,sort,,value,"2"
uiTranslations,,survey_1130,,translation,""
uiTranslations,,survey_1130,,hash,"60159a7069"
uiTranslations,,survey_1129,,translation,""
uiTranslations,,survey_1129,,hash,"afd9c7123c"
uiTranslations,,multilang_02,,translation,"Changer de langue"
uiTranslations,,multilang_02,,hash,"789b14dfa8"
uiTranslations,,multilang_647,,translation,"Remarque : D'autres langues et/ou des langues différentes peuvent être disponibles après la saisie du code d'accès."
uiTranslations,,multilang_647,,hash,"d7982d8eb8"
uiTranslations,,data_entry_540,,translation,"[*DONNÉES SUPPRIMÉES*]"
uiTranslations,,data_entry_540,,hash,"2a9fc8ef2d"
uiTranslations,,design_08,,translation,"Travail..."
uiTranslations,,design_08,,hash,"75065f1a66"
uiTranslations,,global_304,,translation,"Politique de cookies"
uiTranslations,,global_304,,hash,"f36b5f7ed3"
uiTranslations,,global_305,,translation,""
uiTranslations,,global_305,,hash,"f6aa44192f"
uiTranslations,,survey_1347,,translation,""
uiTranslations,,survey_1347,,hash,"c10e74900e"
uiTranslations,,survey_1559,,translation,""
uiTranslations,,survey_1559,,hash,"5d271577e9"
uiTranslations,,data_entry_536,,translation,""
uiTranslations,,data_entry_536,,hash,"50d9cde183"
uiTranslations,,data_entry_537,,translation,""
uiTranslations,,data_entry_537,,hash,"77fa60d9e1"
uiTranslations,,survey_200,,translation,""
uiTranslations,,survey_200,,hash,"2dacf65959"
uiTranslations,,form_renderer_19,,translation,"Développer"
uiTranslations,,form_renderer_19,,hash,"9869e506c3"
uiTranslations,,form_renderer_20,,translation,"réinitialiser"
uiTranslations,,form_renderer_20,,hash,"91ef0c1608"
uiTranslations,,data_entry_39,,translation,"doit apporter de la valeur"
uiTranslations,,data_entry_39,,hash,"569a50139a"
uiTranslations,,form_renderer_66,,translation,"Basculer vers le mode plein écran"
uiTranslations,,form_renderer_66,,hash,"f0e2550803"
uiTranslations,,calendar_popup_01,,translation,"Fermer"
uiTranslations,,calendar_popup_01,,hash,"bbfa773e5a"
uiTranslations,,global_53,,translation,"Annuler"
uiTranslations,,global_53,,hash,"77dfd2135f"
uiTranslations,,design_654,,translation,"Confirmer"
uiTranslations,,design_654,,hash,"04a212215e"
uiTranslations,,alerts_24,,translation,"Alerte"
uiTranslations,,alerts_24,,hash,"b969680a49"
uiTranslations,,global_01,,translation,"ERREUR"
uiTranslations,,global_01,,hash,"0b99cebe56"
uiTranslations,,global_03,,translation,"AVIS"
uiTranslations,,global_03,,hash,"fe71871083"
uiTranslations,,global_64,,translation,"Oups ! Une erreur s'est produite. Veuillez réessayer."
uiTranslations,,global_64,,hash,"bf8e4d2e2b"
uiTranslations,,survey_1241,,translation,""
uiTranslations,,survey_1241,,hash,"844b01f366"
uiTranslations,,global_47,,translation,"ou"
uiTranslations,,global_47,,hash,"1758356db2"
uiTranslations,,scheduling_35,,translation,""
uiTranslations,,scheduling_35,,hash,"5b221e9c2a"
uiTranslations,,system_config_623,,translation,""
uiTranslations,,system_config_623,,hash,"1c05e163ff"
uiTranslations,,global_143,,translation,"À carreaux"
uiTranslations,,global_143,,hash,"b2bc0c005f"
uiTranslations,,global_144,,translation,"Décoché"
uiTranslations,,global_144,,hash,"1b927decdb"
uiTranslations,,data_entry_203,,translation,"Valeur supprimée !"
uiTranslations,,data_entry_203,,hash,"98e2bd8c40"
uiTranslations,,data_entry_602,,translation,""
uiTranslations,,data_entry_602,,hash,"cb42821d9a"
uiTranslations,,docs_1101,,translation,""
uiTranslations,,docs_1101,,hash,"2bff24ec35"
uiTranslations,,global_215,,translation,""
uiTranslations,,global_215,,hash,"92aca1d400"
uiTranslations,,global_217,,translation,""
uiTranslations,,global_217,,hash,"665325b653"
uiTranslations,,global_313,,translation,""
uiTranslations,,global_313,,hash,"b4e03f632e"
uiTranslations,,global_316,,translation,""
uiTranslations,,global_316,,hash,"3ffd7030b9"
uiTranslations,,global_315,,translation,""
uiTranslations,,global_315,,hash,"b39f265781"
uiTranslations,,global_319,,translation,""
uiTranslations,,global_319,,hash,"40a2ee727d"
uiTranslations,,global_314,,translation,""
uiTranslations,,global_314,,hash,"8010feeb96"
uiTranslations,,global_213,,translation,""
uiTranslations,,global_213,,hash,"8418173016"
uiTranslations,,global_317,,translation,""
uiTranslations,,global_317,,hash,"d510d824db"
uiTranslations,,global_320,,translation,""
uiTranslations,,global_320,,hash,"94294df9c7"
uiTranslations,,data_entry_731,,translation,""
uiTranslations,,data_entry_731,,hash,"36f68d0d53"
uiTranslations,,data_entry_728,,translation,""
uiTranslations,,data_entry_728,,hash,"86d3d0db49"
uiTranslations,,data_entry_729,,translation,""
uiTranslations,,data_entry_729,,hash,"d1c9c2d26b"
uiTranslations,,data_entry_759,,translation,""
uiTranslations,,data_entry_759,,hash,"d6bb471cdd"
uiTranslations,,data_entry_734,,translation,""
uiTranslations,,data_entry_734,,hash,"64ad27817c"
uiTranslations,,data_entry_760,,translation,""
uiTranslations,,data_entry_760,,hash,"3cef6b7d8e"
uiTranslations,,data_entry_733,,translation,""
uiTranslations,,data_entry_733,,hash,"a904f51bee"
uiTranslations,,data_entry_735,,translation,""
uiTranslations,,data_entry_735,,hash,"6cf11315da"
uiTranslations,,data_entry_736,,translation,""
uiTranslations,,data_entry_736,,hash,"89cf6a3d3d"
uiTranslations,,survey_1140,,translation,"image"
uiTranslations,,survey_1140,,hash,"0e76292794"
uiTranslations,,form_renderer_22,,translation,"Clause de non-responsabilité"
uiTranslations,,form_renderer_22,,hash,"4c4a2e80cc"
uiTranslations,,global_125,,translation,"Mise à jour"
uiTranslations,,global_125,,hash,"fb91e24fa5"
uiTranslations,,data_entry_260,,translation,"Tapez pour commencer la recherche"
uiTranslations,,data_entry_260,,hash,"c525db789a"
uiTranslations,,data_entry_404,,translation,"caractères restants"
uiTranslations,,data_entry_404,,hash,"86eedaabf4"
uiTranslations,,data_entry_403,,translation,"mots restants"
uiTranslations,,data_entry_403,,hash,"9a6e34046e"
uiTranslations,,data_entry_518,,translation,""
uiTranslations,,data_entry_518,,hash,"392a1c7b8d"
uiTranslations,,data_entry_412,,translation,""
uiTranslations,,data_entry_412,,hash,"4e2eedc317"
uiTranslations,,data_entry_417,,translation,""
uiTranslations,,data_entry_417,,hash,"5deca46842"
uiTranslations,,design_100,,translation,""
uiTranslations,,design_100,,hash,"5397e0583f"
uiTranslations,,design_99,,translation,""
uiTranslations,,design_99,,hash,"816c52fd2b"
uiTranslations,,design_186,,translation,""
uiTranslations,,design_186,,hash,"88b33e4e12"
uiTranslations,,design_187,,translation,""
uiTranslations,,design_187,,hash,"97cdbdc7fe"
uiTranslations,,data_entry_444,,translation,""
uiTranslations,,data_entry_444,,hash,"afec1fe31d"
uiTranslations,,design_722,,translation,""
uiTranslations,,design_722,,hash,"59ea65161d"
uiTranslations,,design_721,,translation,""
